Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
ebv-miR-BART1-5p,3.615078,3,-13.885834,-59.366135,-42.494118,-62.86667,-23.167313,-39.909805,-2.9257812,125.88034,-40,-6.566929,23,-5.6785736,-51.27381,-30.270592,-18.754868,-34.50196,-6.94355
ebv-miR-BART1-5p,-6.677166,14,-33.679688,-22.513626,-8.15686,-58.94902,-26.976654,-40.88672,2.8554688,22.780396,4,-1.2274513,12,0.1484375,-30.698036,-24.103584,-25.666668,-33.744,-11.964844
ebv-miR-BART1-5p,3.7539062,42,-19.609375,-10.3984375,-37.44922,-26.627449,-40.678574,-47.723736,-2.129921,28.466133,11,-8.537254,31,4.9568634,-23.354332,-14.20784,-17.157482,-18.545097,-2.8945312
ebv-miR-BART1-5p,2.007782,59,-1.5429688,3.9254913,-20.858826,-36.784317,-26.599998,-88.745026,-20.738281,7.5099564,10,4.5664062,22,-3.0859375,-30.486267,1.0472412,-38.617188,8.1875,9.054901
ebv-miR-BART16,40.36759,90,93.09628,238.3493,332.18375,186.09222,192.4,223.56488,149.49667,284.79276,13,53.62126,75,252.93332,78.69687,48.56421,258.8817,226.45001,155.40817
ebv-miR-BART16,65.47244,479,146.65536,195.17987,283.07925,175.64536,250.74094,152.16536,167.49802,2184.1077,74,58.283745,80,226.01776,166.05768,64.2233,265.03296,241.22223,273.66183
ebv-miR-BART16,92.36079,996,222.12988,176.9751,354.46695,194.45871,295.0603,156.78946,187.28815,339.89444,88,131.79546,98,348.03186,129.83707,98.634735,335.7801,315.85794,213.94116
ebv-miR-BART16,65.82143,46,213.04443,211.7641,279.0793,170.245,269.17334,133.7927,261.52814,298.19086,73,54.972656,353,308.91705,249.18518,68.202286,294.30435,343.82318,186.38132
ebv-miR-BART17-3p,-20.324219,20,7.8901978,19.07843,-51.3891,-12.291336,-48.134384,-18.560783,-4.1757812,2.2941132,-2,-7.1556435,19,-2.031746,-1.6023636,-7.525696,5.4313736,8.690193,-0.45020294
ebv-miR-BART17-3p,-17.674511,13,44.52304,12.519684,3.3657532,-8.595337,-8.0078125,-5.109375,-14.765625,33.25,28,-13.815685,3,-9.3515625,-28.3451,-34.570312,20.269531,59.52942,-4.8253937
ebv-miR-BART17-3p,-15.858822,13,40.9144,29.874512,-44.743187,-29.484253,-42.458824,-45.745018,10.800003,-4.4453125,49,5.2352943,4,44.106293,-17.568626,-9.936508,-23.437004,7.4414062,7.7265625
ebv-miR-BART17-3p,-5.5607834,84,52.90445,77.3461,-1.9058838,-8.960785,0.619606,-55.972656,31.389763,16.543304,30,-3.1063004,22,35.647057,14.674507,20.788239,-18.827454,-1.8476562,44.137802
ebv-miR-BART17-5p,-6.568001,-47,-86.494156,-82.01991,-99.77344,-77.015564,-56.123016,-63.070866,-45.664062,-55.509804,-49,-15.638889,-58,-45.71875,-65.941635,-84.22266,13.949219,-49.640625,-61.059055
ebv-miR-BART17-5p,-14.3359375,-56,-74.95181,-109.53937,-91.72441,-70.776474,-80.47619,-46.929688,-52.490273,-41.9451,-62,-10.131474,-47,-38.850395,-82.91051,-48.426296,-27.581673,-61.459145,-60.62
ebv-miR-BART17-5p,-7.9726562,-29,-53.472656,-63.60785,-78.245056,-60.69804,-62.914062,-75.03543,-43.375,-57.692913,373,-14.145669,-50,-46.960785,-79.00778,-35.72157,-17.298805,-39.133858,-28.697212
ebv-miR-BART17-5p,-15.339844,-48,-34.234375,-46.725494,-91.67578,-63.364704,-46.2749,-79.66275,-45.682354,-17.89412,-77,-10.805447,-24,-30.917648,-55.439217,-32.764706,-42.69685,-47.649403,-38.268482
ebv-miR-BART18-3p,12.011765,46,34.509735,62.888885,38.894943,-5.330742,27.550781,35.058594,106.78706,268.16913,-10,28.203125,73,37.7874,-1.776886,-7.9444427,98.55975,78.008194,19.480469
ebv-miR-BART18-3p,9.086273,57,10.811768,23.376984,29.140625,-32.24803,11.305557,34.4786,79.75931,113.93855,37,31.267998,47,64.5,-4.423523,-20.117188,63.156677,97.61482,64.25397
ebv-miR-BART18-3p,20.559525,71,58.81961,34.011765,40.53334,-17.303146,49.867264,2.8313751,91.858826,65.940735,-10,12.618111,53,55.553345,69.15936,9.482353,78.4467,130.199,124.75723
ebv-miR-BART18-3p,8.199219,30,6.760788,33.34117,57,17.362747,46.73874,-12.36187,51.84427,76.6169,44,24.745098,36,55.567215,33.472656,11.192917,45.464844,111.60312,27.93254
ebv-miR-BART18-5p,-26.430279,18,-23.118103,-40.13333,-145.0196,-91.043304,-91.94922,-40.22568,-60.502007,-69.38824,-36,-31.34,0,-0.05859375,-24.47451,-22.410156,-35.191406,-63.180393,-6.6023636
ebv-miR-BART18-5p,-18.6,-26,12.521576,-49.74803,-94.94,-102.92828,-67.43701,-56.80588,-36.07843,-26.767715,-28,-27.905138,-10,-5.1015625,-23.650978,-24.691406,-50.710938,-56.630352,-3.9448853
ebv-miR-BART18-5p,-1.6875,-27,-9.066666,-36.875,-97.86719,-77.26274,-73.828125,-28.09375,-28.688976,-53.08235,-49,-5.6388893,-17,7.176468,-27.031372,-5.4722214,-39.984375,-44.890625,4.256813
ebv-miR-BART18-5p,-16.188236,-31,13.308594,-9.121567,-101.4252,-69.63281,-59.128906,-108.33725,-31.058594,-13.9133835,3,-19.61753,-12,52015.5,-10.388237,-5.035431,-21.984314,-59.817123,-3.9411774
ebv-miR-BART19-3p,935.98785,646,733.2714,637.31396,2473.348,752.636,1447.6123,685.9042,1363.5443,2998.4067,174,1038.1951,558,1002.0841,576.3723,315.24893,642.6695,1637.1296,944.5853
ebv-miR-BART19-3p,907.7155,711,750.9231,626.275,2308.4885,719.7472,1450.081,710.9679,1282.9478,2986.9485,493,964.8362,583,988.33813,590.9192,319.92166,678.8468,1471.6624,944.8019
ebv-miR-BART19-3p,921.4836,765,789.56714,629.6545,2397.4556,743.4244,1470.7703,9694.516,1395.7084,2843.7148,196,1077.9231,555,985.6211,637.5211,320.85965,640.8684,1549.3926,933.5023
ebv-miR-BART19-3p,882.13336,788,824.2304,627.674,2437.02,708.2815,1553.4862,631.017,1459.2792,2645.0085,661,979.7851,542,1111.6913,600.895,345.9375,690.2811,1641.455,922.6161
ebv-miR-BART19-5p,-10,-34,-38.54297,-85.80478,-106.90625,-55.078743,-81.09766,-39.208664,-1.796875,-26.779526,-55,-8.375999,-43,-27.456696,-83.909454,-54.007874,-7.59449,-40.36328,-67.852585
ebv-miR-BART19-5p,-11.566929,40,-29.6902,-32.44313,-80.9451,-68.21094,-65.77734,-35.4375,-31.550781,-20.847061,45,-4.57255,-23,-30.023346,-51.50196,-33.59449,-34.21514,-30.066406,-8.330711
ebv-miR-BART19-5p,-6.629921,-15,-16.105469,-20.274506,-65.011856,-47.41732,-45.921875,-51.039062,-9.3515625,4.023529,2341,-1.8754864,-40,-14.09375,-26.757812,-23.21875,-14.746094,28.265625,-6.7890625
ebv-miR-BART19-5p,2.96875,-5,-4,-40.41832,-74.62109,-48.833992,-38.850983,-76.47451,29.96016,-31.398834,33,-6.9960785,-21,-30.125488,-57.347656,-64.46094,-27.648438,15.763779,-6.0952377
ebv-miR-BART20-3p,-15.902344,-25,-56.561752,-49.561264,-78.0625,-92.27843,-78.35857,-46.642857,-8.767998,-31.515625,-57,-22.490196,-30,-55.0856,-102.468506,-74.26953,-42.619606,-50.15354,-63.114174
ebv-miR-BART20-3p,-17.992157,-28,-44.992126,-40.161423,-64.208,-82.64314,-73.909805,-50.4,-9.587997,-19.179283,2,0.4140625,12,-33.347656,-43.44358,-40.714844,-39.992157,-50.916668,-31.296875
ebv-miR-BART20-3p,-0.37109375,-6,-17.76471,-36.043823,-60.484375,-83.214005,-49.14173,-107.32941,-27.761719,-27.152344,-32,-2.578125,-16,-29.601562,-38.720474,-22.855469,-30.282352,-19.76892,-17.059525
ebv-miR-BART20-3p,-10.36,-21,-51.039368,-55.968506,-84.47843,-78.04819,-78.380394,-96.29921,-31.312,-40.245132,-6,-11.074219,-6,-46.878433,-82.91765,-14.192154,-42.47451,-31.856575,-31.53543
ebv-miR-BART20-5p,-28.97255,-41,-73.90158,-64.44,-78.99219,-115.01575,-72.7,-83.501945,-47.728348,-42.996017,-9,-35.47638,-40,-58.696854,-59.869564,-55.52362,-71.99216,-50.862206,-56.59449
ebv-miR-BART20-5p,-29.266666,-32,-56.567993,-67.37007,-63.04724,-101.62302,-58.062744,-71.836655,-52.228348,-50.41961,-11,-26.603922,-59,-47.533073,-63.453125,-65.732,-49.26378,-57.107143,-67.296875
ebv-miR-BART20-5p,-23.0428,-36,-39.216537,-43.84047,-87.28516,-72.11328,-75.25781,-86.23413,-41.715416,-38.505836,-13,-26.46063,-56,-20.230469,1165.3315,-27.28685,-53.05118,-56.601562,-56.437004
ebv-miR-BART20-5p,-15.372549,-61,-167.40552,-36.44841,-66.808,-42.29482,-52.93227,-61.80478,-51.54762,-32.704723,12,-22.53785,-55,-119.944885,-46.043823,-47.558594,17.796082,-56.964,-67.63921
ebv-miR-BART2-3p,6261.618,9967,12250.54,13578.599,15781.591,17324.666,19422.268,10305.996,13089.496,19358.322,2577,6540.3994,7903,11899.19,11922.291,3855.636,13876.452,13558.1455,14354.459
ebv-miR-BART2-3p,6424.1255,10370,11945.7705,12580.096,17238.492,15471.73,19385.898,11069.371,13755.062,16476.88,2495,6551.0557,8059,11899.504,11435.805,3716.1638,12715.633,14393.279,14009.894
ebv-miR-BART2-3p,6411.8984,10127,12478.145,12636.132,19008.025,16921.662,18983.22,10445.798,12928.718,15465.981,2492,6633.4214,8139,12004.323,11626.308,3675.4832,11447.694,14950.404,12788.637
ebv-miR-BART2-3p,6534.678,8410,11956.654,11436.58,17232.342,16387.25,18070.436,10652.791,11791.3,13224.21,2563,6490.4854,6413,11776.25,10521.1875,3796.9705,13745.1,14482.105,12173.688
ebv-miR-BART2-5p,-24.050781,-7,-8.980469,-31.264008,-23.771652,-54.941177,-32.58634,-39.47843,6.6692886,-48.85098,-28,7.2151413,-31,-38.01953,-29.29412,-30.779526,4.0599976,-31.17899,-15.180389
ebv-miR-BART2-5p,-7.869566,-16,-26.888885,5.3828125,-9.88755,-46.265625,-24.647057,-15.745094,-1.4235306,-13.596077,15,-16.629921,-33,-28.550781,-45.301964,-35.086273,-17.091637,-30.168629,-6.4881897
ebv-miR-BART2-5p,-17.988235,4,-11.142853,-41.345093,-0.08267212,-33.12549,-11.9609375,-41.76863,-24.342518,-22.572548,31,3.234375,-23,10.635292,-13.669258,-34.956863,-25.156864,-34.078125,-9.019608
ebv-miR-BART2-5p,-8.283464,79,-9.498032,3.34375,-46.731514,-33.367188,-21.056225,-66.8353,3.240158,1.7058792,20,-13.980314,-21,-5.1595306,-12.929413,4.3529434,5.7490005,-32.37354,15.190475
ebv-miR-BART3,11.456001,127,216.78723,173.72653,193.88474,48.832153,36.168625,119.92554,25.38247,1525.419,9,31.80392,1410,100.21834,55.722885,-18.253906,105.147064,48.5253,111.49727
ebv-miR-BART3,3.1921577,543,216.57657,118.60785,65.70639,46.99608,14.740158,93.97803,19.703125,1231.937,59,24.921875,1465,58.782104,85.04942,-33.178986,162.8465,57.07054,149.09178
ebv-miR-BART3,2.09375,508,212.46725,173.3266,112.10495,88.80075,14.298042,103.70987,2.419609,873.607,46,10.917969,1430,115.2262,99.57364,-33.16863,58.055367,111.384995,134.40712
ebv-miR-BART3,-3.5764713,213,124.97052,169.6594,144.73901,159.07394,65.8412,57.51828,17.312256,845.26135,34,20.089844,1358,141.47781,111.052246,-1.4330673,43.132683,106.67105,183.75714
ebv-miR-BART3*,-22.937256,-56,-43.64453,-76.900406,-104.71094,-88.066666,-80.27843,-60.898834,-15.509804,-52.91797,-46,-9.45783,-50,-48.0625,-103.97266,-75.40551,-38.125984,-51.027557,-109.09562
ebv-miR-BART3*,18.601562,6,-76.90625,-52.351562,-94.66535,-81.149605,-64.7126,-48.97638,-48.49225,-22.468506,76,-16.381323,-33,-29.70588,-71.17255,-54.992157,-40.079365,-49.21401,-22.136719
ebv-miR-BART3*,-9.1484375,-15,-42.496094,-54.303146,-81.8307,-58.460938,-63.720474,-69.38824,-9.25,9260.074,-4,-7.0823536,-15,-23.265625,-40.191406,-17.031876,-37.558594,-38.758755,-38.274513
ebv-miR-BART3*,-12.78125,-8,-41.325485,-48.14859,-56.604744,-44.377953,-47.486275,-83.24016,-28.063744,-50.843136,9,-12.458823,-40,-41.746094,-79.098816,-141.9567,-41.503906,-43.597656,-16.150795
ebv-miR-BART4,-9.910156,-11,-36.38977,-12.580383,-70.07393,-67.7251,-47.34127,-18.36111,-13.29084,-32.078125,-2,-5.3529415,-16,6.4330673,-17.57647,6.401581,2.2062225,-53.52988,11.653542
ebv-miR-BART4,-13.056,-10,31.250977,24.984314,-43.941406,-50.31907,-35.33465,-25.941177,2.1011658,-13.6328125,3,-7.4414062,-6,-1.841896,-8.035431,-5.8671875,-25.749004,-33,11.863281
ebv-miR-BART4,-8.677042,113,34.003906,-22.537262,-32.109375,-33.140076,-30.227451,-76.22,-0.73228455,-25.464565,45,-5.8359375,-11,5.75,-25.121567,-0.234375,-9.204723,-29.358269,-1.6548996
ebv-miR-BART4,-14.171875,-7,-11.324219,-8.75,-43.09449,-42.06693,-16.137794,-62.120483,-2.8515625,-9.441765,31,-15.503906,-12,12.670586,-2.4396896,-1.5976562,-13.043137,-33.148438,6.9561768
ebv-miR-BART5,1.677166,21,25.751984,4.7686157,76.788925,-23.23529,27.420227,13.584984,6.9140625,190.04825,-51,29.275589,58,51.57086,33.078125,-26.888443,66.916245,26.804688,24.454895
ebv-miR-BART5,11.541176,40,40.73706,30.304688,79.71231,30.780884,17.722656,30.188751,20.905884,170.45483,23,31.388237,33,93.5748,23.301956,-6.2823563,110.175,39.278435,60.223526
ebv-miR-BART5,6.9296875,84,21.968506,42.431915,83.17598,469.5686,24.18431,4.1517487,9.643143,169.05249,10,18.136719,55,55.247055,88.7439,13.121094,45.937256,57.95787,39.0625
ebv-miR-BART5,-3.8235302,54,45.945526,58.01709,97.83684,-8.941406,29.642021,-41.401573,20.078125,130.22896,5,11.980392,72,45.04297,33.76494,17.925491,47.61199,49.227997,83.05914
ebv-miR-BART6-3p,162.49689,57,126.79523,12.003906,465.1496,15.082352,512.4684,35.725098,302.72046,995.5751,-48,175.03912,28,104.6358,-17.714844,-51.976562,239.29599,298.75934,6.494156
ebv-miR-BART6-3p,180.83661,79,74.03543,42.745087,742.4701,25.15625,522.8453,130.95105,322.13168,1023.4354,81,186.41072,47,75.31641,7.771652,-19.992218,321.58054,381.3871,107.54692
ebv-miR-BART6-3p,172.37314,31,141.2786,51.512512,688.332,27.976196,525.7899,109.23744,389.51834,30026.076,671,255.21213,70,142.04706,40.3463,0.30588531,276.1128,366.56802,133.08963
ebv-miR-BART6-3p,185.5404,143,173.35645,51.864502,726.60535,68.58885,587.0287,79.59,252.61926,684.4073,12,260.61273,48,97.90079,60.76863,19.655998,289.92563,382.54614,282.6396
ebv-miR-BART6-5p,-10.850981,-50,-63.617188,-75.52362,-116.10196,-90.90873,-99.960785,-71.374016,-45.42578,-69.796875,49,-15.431372,-30,-49.377434,-75.5873,-80.232285,-59.019608,-56.244186,-60.694122
