Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
hsa-miR-296-3p ,3.78369275,36.5,18.00136556,11.24396892,29.44032675,-26.8812805,-1.9754601,-25.9445305,17.7101135,122.714451,19.5,83.15713625,41,48.22380875,32.30079713,17.203229,8.831800375,-3.572278975,48.725719
hsa-miR-30b* ,3.79531095,2.5,15.1250763,18.84321981,7.6864243,12.58720763,247.8414645,12.93861188,30.61304475,52.10088,1.25,8.885984375,-27.75,19.3113385,6.759832408,-13.59012588,58.64894275,25.9732245,17.021202
hsa-miR-892b ,3.914196925,44.5,84.23466375,25.67846275,77.60186125,29.26945113,37.09142275,20.0245135,29.490818,364.16548,8.25,18.47850513,456.5,9.54437845,-15.77099593,-44.7007075,44.89070125,37.0992895,14.35649088
hsa-miR-297 ,3.955108258,18.25,-0.830906125,1.838744925,-37.6037327,-36.24565325,-18.45066495,-31.4203435,-4.796495375,-5.482475125,32.75,-7.247597725,11,39.59863225,-12.18952175,-17.5089225,12.55383293,11.1521415,11.5046805
hsa-miR-199a-5p ,3.9641993,127,421.684425,214.5558625,233.53804,-16.0602913,119.651564,9.45941955,22.8106515,288.5658725,95.5,20.77357113,17.5,714.20276,325.707735,-13.8037375,48.960553,35.4068465,396.7781475
ebv-miR-BART5 ,4.081124825,49.75,33.600769,33.88057718,84.37851375,117.043197,24.7423035,1.630977675,14.38530363,164.9461325,-3.25,22.69523425,54.5,61.35892125,44.72223025,-0.531053575,67.66012275,43.3172475,51.70001525
hsa-miR-194* ,4.136669099,29,26.4466015,4.194660353,-15.489505,-13.22599575,-0.6529825,-18.10051575,51.08474225,48.40240275,44.25,13.23459,16,29.05426225,-12.46258133,-19.46489673,26.64729558,93.80396,23.23365783
hsa-miR-504 ,4.216064318,-17.5,-35.80578225,-27.32159405,-25.56835543,2911.897278,-26.46261425,-19.87725552,5.80557475,18.9733406,-25.75,49.49267482,-3.5,-7.641731225,-30.2708112,-38.62341125,718.1505193,-39.87645225,-24.68552575
hsa-miRPlus-F1185 ,4.417453325,22.75,16.484318,12.07423425,-33.31075,-12.56511133,1.805561075,-20.696067,-17.14339268,31.35141775,-3,2.42628045,3,-1.922250738,-17.40033338,-25.81009725,48.39697175,4.270549725,30.87407135
hsa-miRPlus-F1190 ,4.560685075,381,-3.282440175,-27.53020858,-71.14968375,-24.91757988,-43.5915565,-32.64670565,-16.17695825,-7.442684125,-4.75,-8.6063242,5.5,-7.1496145,-54.13234375,-47.32665,-10.92812643,-4.803503035,-28.17675475
